Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2016-04-19,435.5090026855469,426.90370178222656,423.08671997070314,410.3766494750977,428.77,427.795
2016-04-20,441.3890075683594,428.8862030029297,424.02447998046875,410.3062594604492,431.403,430.267
2016-04-21,449.4249877929688,431.5804016113281,424.93087890625,410.4436093139648,435.138,433.75
2016-04-22,445.7369995117188,433.6351013183594,425.79111938476564,410.5772692871094,437.712,435.93
2016-04-23,450.2820129394531,436.28990173339844,427.1417602539062,410.7770294189453,440.738,438.539
2016-04-24,458.55499267578125,439.7171997070312,428.8913195800781,411.7192694091797,444.786,442.178
2016-04-25,461.4259948730469,442.8884979248047,430.67919921875,412.45816925048825,448.734,445.678
2016-04-26,466.0889892578125,446.44019775390626,432.6043591308594,413.2960690307617,452.952,449.389
2016-04-27,444.68701171875,448.16900024414065,433.55692016601563,413.87125915527344,452.633,448.534
2016-04-28,449.010986328125,450.21099853515625,434.6811999511719,414.5598791503906,452.786,448.621
2016-04-29,455.09698486328125,452.1697967529297,436.0273193359375,414.90854888916016,453.674,449.798
2016-04-30,448.3179931640625,452.8626953125,436.99883911132815,415.28910888671874,452.974,449.529
2016-05-01,451.875,453.1076965332031,438.1373193359375,415.9829388427734,452.795,449.956
2016-05-02,444.66900634765625,453.0008972167969,439.01427978515625,416.55471893310545,451.26,448.994
2016-05-03,450.3039855957031,453.0030944824219,440.21247924804686,417.0280487060547,450.77,449.233
2016-05-04,446.72198486328125,451.8197937011719,441.30491821289064,417.57800842285155,449.628,448.776
2016-05-05,447.97601318359375,450.47479553222655,442.36139892578126,418.1362384033203,448.929,448.631
2016-05-06,459.6029968261719,449.8261962890625,443.84619873046876,418.78254852294924,450.589,450.626
2016-05-07,458.5360107421875,451.2110961914062,445.1800390625,419.56501861572264,452.172,452.064
2016-05-08,458.5480041503906,452.1647979736328,446.5725988769531,420.3557586669922,453.506,453.243
2016-05-09,460.4830017089844,452.7033996582031,448.02063842773435,421.1780386352539,455.019,454.559
2016-05-10,450.8949890136719,452.9610992431641,448.86791748046875,421.99931854248047,454.69,453.893
2016-05-11,452.7279968261719,453.04639892578126,449.75415771484376,422.7960385131836,454.648,453.681
2016-05-12,454.7659912109375,454.05609741210935,450.848837890625,423.5992184448242,454.96,453.878
2016-05-13,455.6700134277344,454.5927001953125,451.93199829101565,424.45642852783203,455.254,454.204
2016-05-14,455.6709899902344,455.4876007080078,452.7384777832031,425.1171984863281,455.45,454.471
2016-05-15,457.5679931640625,456.44679870605466,453.38563720703127,425.82738830566404,455.828,455.034
2016-05-16,454.1629943847656,455.9027984619141,453.5751574707031,426.60379821777343,455.413,454.876
2016-05-17,453.7829895019531,455.4274963378906,453.8969970703125,427.3754281616211,455.027,454.677
2016-05-18,454.6189880371094,455.0345947265625,454.07047607421873,428.18714813232424,454.88,454.666
2016-05-19,438.7149963378906,452.8577941894531,453.2768762207031,428.81400817871094,451.913,451.766
2016-05-20,442.6759948730469,452.0358947753906,452.5268762207031,429.42427825927734,450.062,450.113
2016-05-21,443.18798828125,451.08189392089844,451.61083618164065,430.05961822509767,448.453,448.854
2016-05-22,439.322998046875,449.5375946044922,451.39627563476563,430.6102182006836,446.315,447.121
2016-05-23,444.1549987792969,448.38609313964844,451.2020361328125,431.13316833496094,445.336,446.582
2016-05-24,445.9809875488281,447.41709289550784,450.8373962402344,431.52067810058594,444.899,446.473
2016-05-25,449.5989990234375,446.6201934814453,450.88863647460937,432.0148181152344,445.296,447.041
2016-05-26,453.3840026855469,446.54229431152345,450.94899658203127,432.47377807617187,446.526,448.194
2016-05-27,473.4639892578125,448.51039428710936,452.1007958984375,433.04519805908205,451.421,452.789
2016-05-28,530.0399780273439,456.0524932861328,455.2902355957031,434.121867980957,466.244,466.835
2016-05-29,526.2329711914061,464.8042907714844,458.4706750488281,435.17634765625,479.004,477.634
2016-05-30,533.864013671875,473.9230926513672,461.90619506835935,436.14334777832033,491.56,487.858
2016-05-31,531.385986328125,482.7428924560547,464.7775146484375,437.06922760009763,502.008,495.772
2016-06-01,536.9199829101561,492.5025909423828,467.9128735351562,438.0609475708008,511.859,503.253
2016-06-02,537.9719848632811,501.88428955078126,471.0898327636719,439.2333074951172,520.126,509.566
2016-06-03,569.1939697265625,514.2055877685547,475.438271484375,440.67569732666016,532.364,520.407
2016-06-04,572.7269897460938,526.5183868408203,480.3115515136719,442.1575271606445,543.004,529.92
2016-06-05,574.9769897460938,538.677685546875,485.2015112304687,443.58577697753907,551.815,538.112
2016-06-06,585.5369873046875,549.8849853515625,490.43235107421873,445.1159567260742,560.335,546.735
2016-06-07,576.5969848632812,554.5406860351562,495.2694299316406,446.5468865966797,565.191,552.164
2016-06-08,581.64501953125,560.0818908691406,500.30839111328123,447.9863668823242,570.12,557.524
2016-06-09,574.6300048828125,564.1584899902343,504.9908715820313,449.3814370727539,572.765,560.635
2016-06-10,577.469970703125,568.7668884277343,509.92315063476565,450.9162466430664,575.185,563.696
2016-06-11,606.7269897460938,575.7475891113281,516.0409106445312,452.7670065307617,582.087,571.519
2016-06-12,672.7839965820312,589.2287902832031,524.7675109863281,455.38545654296877,599.73,589.931
2016-06-13,704.3759765625,602.7469909667968,535.3939501953125,458.42351623535154,620.666,610.739
2016-06-14,685.5590209960938,614.0301940917968,545.1092712402344,461.2020364379883,635.722,624.343
2016-06-15,694.468994140625,625.97939453125,555.1605114746094,464.0035162353516,650.348,637.093
2016-06-16,766.3079833984375,644.056494140625,568.2399108886718,467.5268762207031,675.862,660.587
2016-06-17,748.9089965820312,661.2876953125,580.4300708007812,470.8673663330078,694.926,676.645
2016-06-18,756.2269897460938,678.7458923339843,592.8399108886719,474.25832611083985,712.188,691.115
2016-06-19,763.781005859375,697.6609924316406,605.4071911621094,477.67923614501956,727.649,704.327
2016-06-20,737.2260131835938,713.6365966796875,616.7608715820312,480.93525634765626,734.842,710.308
2016-06-21,666.6519775390625,719.6290954589844,624.4883911132813,483.4611260986328,726.3,702.371
2016-06-22,596.1160278320312,711.9622985839844,627.1314331054688,485.2579064941406,703.843,683.052
2016-06-23,623.9769897460938,703.9223999023437,631.0411938476562,487.3293765258789,687.845,672.311
2016-06-24,665.2990112304688,701.8963989257812,636.29859375,489.8122567749023,680.823,671.036
2016-06-25,665.1229858398438,698.9617980957031,641.6480737304687,492.2572766113281,674.137,669.961
2016-06-26,629.3670043945312,685.2677001953125,645.3459545898437,494.45546661376954,661.483,662.58
2016-06-27,655.2750244140625,675.9043029785156,650.038076171875,496.9037768554688,656.03,661.252
2016-06-28,647.0009765625,664.9817016601562,653.1503564453125,499.2362365722656,650.775,658.661
2016-06-29,639.8900146484375,652.5926025390625,655.8368774414063,501.50206665039065,646.213,655.248
2016-06-30,673.3369750976562,646.2036987304688,659.7712768554687,504.0545465087891,649.984,658.537
2016-07-01,676.2960205078125,647.1681030273437,663.4016381835937,506.637096862793,655.456,661.766
2016-07-02,703.7020263671875,657.9267028808594,668.48583984375,509.51017700195314,665.735,669.391
2016-07-03,658.6640014648438,661.3954040527344,671.5665991210938,511.9250469970703,665.869,667.44
2016-07-04,683.6619873046875,663.2317016601562,675.9278784179687,514.582216796875,669.917,670.39
2016-07-05,670.6270141601562,663.7821044921875,679.65416015625,517.0208367919922,671.262,670.433
2016-07-06,677.3309936523438,668.5785034179687,682.4783203125,519.5518368530273,673.725,671.687
2016-07-07,640.56201171875,667.1072021484375,681.1894409179688,521.7922970581054,668.631,666.028
2016-07-08,666.5230102539062,669.0594055175782,679.675322265625,524.3093670654297,668.525,666.118
2016-07-09,650.9600219726562,670.16640625,678.2913623046875,526.6516772460938,665.234,663.362
2016-07-10,649.3599853515625,667.7687072753906,676.487001953125,528.9656771850586,661.451,660.816
